Level,Reward,Distance,Completed
1-1,-21.0,434,False
1-2,-69.0,386,False
1-3,219.0,282,False
1-4,-37.0,318,False
2-1,275.0,338,False
2-2,1085.0,1175,False
2-3,1242.0,1327,False
2-4,831.0,1187,False
3-1,6.0,372,False
3-2,378.0,445,False
3-3,-225.0,130,False
3-4,174.0,268,False
4-1,393.0,464,False
4-2,-99.0,260,False
4-3,-28.0,327,False
4-4,2215.0,626,False
5-1,132.0,194,False
5-2,371.0,446,False
5-3,332.0,405,False
5-4,1030.0,1115,False
6-1,262.0,342,False
6-2,389.0,882,False
6-3,297.0,363,False
6-4,370.0,435,False
7-1,311.0,381,False
7-2,438.0,508,False
7-3,513.0,583,False
7-4,35.0,294,False
8-1,160.0,222,False
8-2,206.0,290,False
8-3,316.0,386,False
8-4,58.0,181,False
