Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,602.4,19.74,686.8,13.85,0.0
1-2,199.0,181.32,346.6,212.31,0.0
1-3,354.6,0.8,422.2,0.75,0.0
1-4,239.2,105.04,312.4,110.87,0.0
2-1,366.2,95.97,438.6,102.33,0.0
2-2,1127.4,295.62,1272.4,270.11,0.0
2-3,999.0,2.53,1078.4,0.8,0.0
2-4,188.4,5.68,250.2,5.04,0.0
3-1,545.2,140.56,648.0,158.67,0.0
3-2,650.2,485.98,726.0,499.54,0.0
3-3,334.2,59.58,401.0,60.62,0.0
3-4,366.6,158.7,432.0,163.01,0.0
4-1,449.8,32.42,519.6,32.68,0.0
4-2,191.2,44.11,254.0,45.39,0.0
4-3,328.8,9.13,396.0,9.1,0.0
4-4,75.8,1.17,135.2,1.17,0.0
5-1,189.0,33.6,251.8,34.44,0.0
5-2,780.2,225.53,868.6,238.26,0.0
5-3,352.8,2.71,420.4,2.42,0.0
5-4,196.2,3.31,258.0,3.63,0.0
6-1,280.2,0.4,343.4,0.8,0.0
6-2,284.4,151.42,443.4,80.0,0.0
6-3,263.4,53.19,325.6,55.05,0.0
6-4,77.6,166.55,203.2,52.54,0.0
7-1,886.8,238.08,977.0,244.11,0.0
7-2,541.0,241.8,616.0,251.77,0.0
7-3,432.2,157.6,503.2,162.61,0.0
7-4,292.4,28.69,356.2,29.84,0.0
8-1,323.6,66.58,390.0,67.87,0.0
8-2,426.4,378.83,498.0,387.95,0.0
8-3,959.4,38.48,1049.4,35.94,0.0
8-4,107.6,2.24,166.6,3.2,0.0
