Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,282.6,188.84,460.4,193.6,0.0
1-3,373.0,100.89,440.0,102.72,0.0
2-1,405.4,127.41,477.0,134.98,0.0
2-3,979.4,198.18,1055.8,198.86,0.0
4-1,343.8,37.68,417.6,34.28,0.0
5-1,149.2,37.09,211.0,38.07,0.0
5-2,539.0,139.05,695.8,119.89,0.0
5-3,352.4,3.72,418.8,3.25,0.0
7-1,438.4,241.35,515.4,252.96,0.0
7-3,522.8,124.38,593.8,122.79,0.0
8-1,171.2,48.54,233.6,48.85,0.0
8-2,182.6,41.59,245.0,42.38,0.0
8-3,336.2,266.97,431.0,236.01,0.0
