Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,677.2,357.17,757.2,370.78,0.0
1-2,397.8,223.87,472.6,234.28,0.0
1-3,350.0,170.43,415.0,174.07,0.0
1-4,279.8,135.88,344.0,138.92,0.0
2-1,475.0,201.3,547.8,209.98,0.0
2-2,719.4,324.19,805.8,333.84,0.0
2-3,952.0,257.83,1028.6,261.22,0.0
2-4,301.0,29.39,365.4,30.34,0.0
3-1,359.4,85.2,425.0,87.5,0.0
3-2,240.6,77.64,303.8,79.54,0.0
3-3,359.2,100.32,425.0,102.42,0.0
3-4,241.4,62.48,303.6,64.84,0.0
4-1,753.8,385.31,828.6,392.82,0.0
4-2,218.0,31.05,280.4,31.86,0.0
4-3,328.0,8.85,392.8,8.54,0.0
4-4,99.8,29.57,160.2,30.47,0.0
5-1,276.8,140.17,341.0,142.55,0.0
5-2,546.6,128.99,621.6,132.66,0.0
5-3,351.8,169.97,417.4,173.21,0.0
5-4,243.4,36.21,306.6,36.41,0.0
6-1,302.6,46.72,366.6,49.72,0.0
6-2,655.8,206.88,813.2,326.39,0.0
6-3,341.2,196.03,406.0,199.77,0.0
6-4,250.6,121.62,314.0,124.08,0.0
7-1,450.6,224.27,522.8,234.24,0.0
7-2,574.8,219.29,660.8,240.18,0.0
7-3,733.0,280.35,807.8,284.73,0.0
7-4,274.0,20.25,338.0,20.23,0.0
8-1,289.0,174.0,356.4,180.9,0.0
8-2,282.4,120.33,348.0,122.66,0.0
8-3,669.0,255.33,744.2,262.5,0.0
8-4,111.8,5.15,172.8,5.71,0.0
