Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,692.2,433.47,768.6,445.24,0.0
1-3,288.8,44.35,353.2,45.13,0.0
2-1,584.4,525.84,659.8,542.32,0.0
2-3,1215.0,383.71,1301.0,391.3,0.0
4-1,401.0,50.66,470.0,48.72,0.0
5-1,173.4,44.54,235.6,44.68,0.0
5-2,582.8,302.84,664.2,315.1,0.0
5-3,386.8,189.72,453.8,193.76,0.0
7-1,621.4,403.03,699.4,418.16,0.0
7-3,658.2,221.98,732.4,224.89,0.0
8-1,325.6,240.58,391.8,247.99,0.0
8-2,638.6,320.55,716.8,327.23,0.0
8-3,948.2,210.18,1033.4,217.49,0.0
