Level,Reward Avg,Reward Std,Distance Avg,Distance Std,Completion Rate
1-1,744.8,296.698095713471,825.8,307.37039545148133,0.0
1-2,540.6,265.8124150599441,622.4,277.13794399179625,0.0
1-3,336.8,117.97016571998192,402.0,120.36444657788279,0.0
1-4,212.6,86.70547848896285,274.6,87.70541602432543,0.0
2-1,354.0,115.94653940502063,420.6,120.53148966141588,0.0
2-2,1092.2,654.8457528303899,1195.0,673.3204289192479,0.0
2-3,758.2,443.6775405629634,832.8,451.5672264458527,0.0
2-4,297.2,78.24934504518232,361.6,80.00649973595895,0.0
3-1,590.0,152.19461225680757,664.8,158.90298927332992,0.0
3-2,202.2,73.33048479316088,264.8,74.47254527676625,0.0
3-3,308.0,65.82096930310279,372.8,67.59704135537294,0.0
3-4,250.0,60.08327554319921,313.2,61.21241704098933,0.0
4-1,703.8,517.6463657749371,780.0,532.0447349612624,0.0
4-2,178.2,53.1390628445779,239.4,54.78539951483424,0.0
4-3,364.8,69.11555541265658,430.2,70.43408265889462,0.0
4-4,99.8,30.38025674677553,160.4,31.11012696856122,0.0
5-1,334.4,214.813034986241,400.0,220.09361644536625,0.0
5-2,394.4,152.96875497957092,466.0,157.92403236999743,0.0
5-3,286.0,49.931953697006485,349.8,50.964301231352124,0.0
5-4,286.2,64.34718331053816,350.4,65.71636021570276,0.0
6-1,333.2,63.97624559162565,399.0,67.8174018965634,0.0
6-2,669.4,213.3584776848579,766.8,230.4,0.0
6-3,246.0,43.13235444535807,308.8,43.78310176312318,0.0
6-4,249.2,96.72104217800798,312.0,98.54339145777357,0.0
7-1,309.4,75.68777972698103,376.2,78.44335535913797,0.0
7-2,588.2,360.60305045853397,664.6,368.8265717108788,0.0
7-3,740.0,258.10617970130045,815.8,263.3244386683469,0.0
7-4,4100.8,7650.115277562816,361.4,46.92376796464666,0.0
8-1,388.4,265.0740273961219,455.8,272.114240715182,0.0
8-2,218.2,44.95063959500465,282.0,46.71188285650665,0.0
8-3,757.8,313.3339432618177,834.0,321.2400971236312,0.0
8-4,307.0,389.5084081249081,372.0,398.0085426218889,0.0
